Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
unisex-jazz-hat,,,,,,,,Brown,,,,,34231989-brown-china,0.0,shopify,deny,oberlo,2.00,4.84,true,false,"",https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190194.jpg?v=1586080093,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190188.jpg?v=1586080095,lb,,
unisex-jazz-hat,,,,,,,,Blue,,,,,34231989-blue-china,0.0,shopify,deny,oberlo,2.00,4.84,true,false,"",https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190190.jpg?v=1586080094,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190187.jpg?v=1586080096,lb,,
unisex-jazz-hat,,,,,,,,White,,,,,34231989-white-china,0.0,shopify,deny,oberlo,4.96,4.96,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190185.jpg?v=1586080094,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190194.jpg?v=1586080093,lb,,
unisex-jazz-hat,,,,,,,,Red,,,,,34231989-red-china,0.0,shopify,deny,oberlo,4.84,4.84,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190189.jpg?v=1586080095,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190193.jpg?v=1586080093,lb,,
unisex-jazz-hat,,,,,,,,Khaki,,,,,34231989-khaki-china,0.0,shopify,deny,oberlo,4.84,4.84,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190188.jpg?v=1586080095,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190192.jpg?v=1586080096,lb,,
unisex-jazz-hat,,,,,,,,Gray,,,,,34231989-gray-china,0.0,shopify,deny,oberlo,4.84,4.84,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190186.jpg?v=1586080095,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190191.jpg?v=1586080096,lb,,
unisex-jazz-hat,,,,,,,,Black,,,,,34231989-black-china,0.0,shopify,deny,oberlo,4.84,4.84,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190192.jpg?v=1586080096,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190186.jpg?v=1586080095,lb,,
unisex-jazz-hat,,,,,,,,Beige,,,,,34231989-beige-china,0.0,shopify,deny,oberlo,5.02,5.02,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190187.jpg?v=1586080096,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190185.jpg?v=1586080094,lb,,
unisex-jazz-hat,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190191.jpg?v=1586080096,11,,,,,,,,,,,,,,,,,,,,,
palm-printed-summer-hat,Palm Printed Summer Hat,A casual fedora for the beach. Palm printed summer hat with 5 different shades to choose from.,johnvincentio,Summer hat,"Palm, Printed, Straw, Summer",true,Color,Brown,Size,Small,,,33120696-brown,0.0,shopify,deny,oberlo,7.06,7.06,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952538.jpg?v=1588659948,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952538.jpg?v=1588659948,lb,,
palm-printed-summer-hat,,,,,,,,Brown,,Medium,,,33120696-brown,0.0,shopify,deny,oberlo,7.06,7.06,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952531.jpg?v=1588659948,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952538.jpg?v=1588659948,lb,,
palm-printed-summer-hat,,,,,,,,White,,Small,,,33120696-white,0.0,shopify,deny,oberlo,6.96,6.96,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952540.jpg?v=1588659948,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952537.jpg?v=1588659948,lb,,
palm-printed-summer-hat,,,,,,,,White,,Medium,,,33120696-white,0.0,shopify,deny,oberlo,6.96,6.96,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952539.jpg?v=1588659948,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952537.jpg?v=1588659948,lb,,
palm-printed-summer-hat,,,,,,,,White,,Large,,,33120696-white,0.0,shopify,deny,oberlo,6.96,6.96,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952537.jpg?v=1588659948,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952537.jpg?v=1588659948,lb,,
palm-printed-summer-hat,,,,,,,,Beige,,Small,,,33120696-beige,0.0,shopify,deny,oberlo,7.02,7.02,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952539.jpg?v=1588659948,lb,,
palm-printed-summer-hat,,,,,,,,Beige,,Medium,,,33120696-beige,0.0,shopify,deny,oberlo,7.02,7.02,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952539.jpg?v=1588659948,lb,,
palm-printed-summer-hat,,,,,,,,Beige,,Large,,,33120696-beige,0.0,shopify,deny,oberlo,7.02,7.02,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952539.jpg?v=1588659948,lb,,
palm-printed-summer-hat,,,,,,,,Ivory,,Small,,,33120696-ivory,0.0,shopify,deny,oberlo,6.92,6.92,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952540.jpg?v=1588659948,lb,,
palm-printed-summer-hat,,,,,,,,Ivory,,Medium,,,33120696-ivory,0.0,shopify,deny,oberlo,6.92,6.92,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952540.jpg?v=1588659948,lb,,
palm-printed-summer-hat,,,,,,,,Ivory,,Large,,,33120696-ivory,0.0,shopify,deny,oberlo,6.92,6.92,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1321952540.jpg?v=1588659948,lb,,
